"Date","FLUXNET site ID","Koppen (climate)","IGBP (vegetation)","Evapotranspiration (mm)","Air temperature (°C)","Shortwave radiation (W/m2)","Longwave radiation (W/m2)","Atmospheric pressure(kPa)","2-m wind speed (m/s)","Relative humidity (%)","Specific humidity (kg/kg)"
2014-03-07,"AU-Rig","Temperate","Grassland",1.19217540397844,19.3910416666667,297.729166666667,311.4375,99.6725,1.71782027822483,53.3333333333333,0.00752293285369273
2014-03-08,"AU-Rig","Temperate","Grassland",1.08899881305701,23.0379166666667,294.979166666667,329.625,99.6539583333333,1.65480262827806,40.2916666666667,0.00710934261913028
2014-03-09,"AU-Rig","Temperate","Grassland",0.871210283748568,23.1289583333333,288.583333333333,339.458333333333,99.6179166666667,1.44217699142523,39.3541666666667,0.0069843017898652
2014-03-11,"AU-Rig","Temperate","Grassland",0.768100793548271,25.3158333333333,128.604166666667,399.625,99.6108333333333,1.50189446519026,44.1666666666667,0.00894927810670509
2014-03-12,"AU-Rig","Temperate","Grassland",2.10787398066904,20.1177083333333,275.833333333333,345.875,99.54875,2.71557354384091,56.1666666666667,0.00830241807601142
2014-03-13,"AU-Rig","Temperate","Grassland",0.850913196512911,20.468125,278.1875,327.854166666667,99.45375,1.24228060555917,44.9375,0.00678830579405383
2014-03-14,"AU-Rig","Temperate","Grassland",0.697810740503762,21.0825,266.578125,337.354166666667,99.0533333333333,1.21792216231291,49.2916666666667,0.00776915041625815
2014-03-15,"AU-Rig","Temperate","Grassland",0.795550277609361,21.1966666666667,106.354166666667,381.5,98.325625,2.40362831904205,48.0833333333333,0.00768814965981099
2014-03-16,"AU-Rig","Temperate","Grassland",2.31176310817493,14.8489583333333,160.75,329.458333333333,98.565625,2.33401031673179,64.3125,0.00687698043050611
2014-03-17,"AU-Rig","Temperate","Grassland",1.71279612521376,16.970625,98.0625,373.5625,99.2477083333333,1.66831763549856,72.4166666666667,0.0088180314351022
2014-03-18,"AU-Rig","Temperate","Grassland",1.59555672983683,19.3591666666667,215.041666666667,358.416666666667,99.796875,1.14296101761313,63.0625,0.00887382701400241
2014-03-19,"AU-Rig","Temperate","Grassland",1.35771972549249,19.6839583333333,273.9375,305.208333333333,100.19125,1.80032468276861,46.3958333333333,0.00662656309610649
2014-03-20,"AU-Rig","Temperate","Grassland",1.05887403995302,20.2102083333333,265.541666666667,327.729166666667,99.9704166666667,1.42426174929573,51.3125,0.00759299999549222
2014-03-21,"AU-Rig","Temperate","Grassland",0.910306193391206,23.14875,197.270833333333,365.479166666667,99.36375,3.2580596476221,45.3125,0.00807731797192857
2014-03-22,"AU-Rig","Temperate","Grassland",0.635215077427559,16.9464583333333,267.4375,296.666666666667,99.4983333333333,3.01131647509984,53.2291666666667,0.00644612247920586
2014-03-23,"AU-Rig","Temperate","Grassland",0.517401377628093,14.5308333333333,187.291666666667,309.458333333333,99.4722916666667,2.15485789543673,62.5833333333333,0.00649481143945991
2014-03-24,"AU-Rig","Temperate","Grassland",0.580108563662749,17.7785416666667,222.083333333333,330.833333333333,99.534375,2.18141645613748,46.375,0.00591540936932735
2014-03-25,"AU-Rig","Temperate","Grassland",1.23644282938372,20.4533333333333,194.6875,366.208333333333,99.8460416666667,1.57858427360428,54.8541666666667,0.00825354942368601
2014-03-26,"AU-Rig","Temperate","Grassland",0.838403896184029,20.4285416666667,136.354166666667,376.354166666667,99.975625,1.20739302878066,65.9166666666667,0.00989988891704039
2014-03-27,"AU-Rig","Temperate","Grassland",2.12196847003465,20.064375,118.3125,396.458333333333,99.44875,2.01577904206293,83.9166666666667,0.0124066043191258
2014-03-28,"AU-Rig","Temperate","Grassland",2.82331635945387,20.795625,168.333333333333,362.0625,99.3035416666667,1.39880324732222,72.4375,0.0112125847816856
2014-03-29,"AU-Rig","Temperate","Grassland",2.62669538890502,20.45125,233.229166666667,337.854166666667,99.4029166666667,0.969623192447828,60.7083333333333,0.00917906233245871
2014-03-30,"AU-Rig","Temperate","Grassland",2.40518027447471,19.0872916666667,143.958333333333,367.708333333333,99.7279166666667,1.40571790217922,76.1041666666667,0.0105469584738189
2014-03-31,"AU-Rig","Temperate","Grassland",2.91619380529476,20.904375,222.520833333333,358.041666666667,99.695625,1.26616759506518,66.75,0.0103553636651323
2014-04-01,"AU-Rig","Temperate","Grassland",3.13863390043953,23.9327083333333,214.4375,369.583333333333,99.4275,2.06402447481519,56.5,0.0105685580687174
2014-04-02,"AU-Rig","Temperate","Grassland",1.80860779891179,22.9166666666667,119.020833333333,385.1875,99.235625,1.96706215557041,60.4791666666667,0.0106607743160076
2014-04-03,"AU-Rig","Temperate","Grassland",2.47370585924275,17.9835416666667,126.229166666667,373.041666666667,99.4564583333333,2.54475013862361,76.8333333333333,0.00996001867835876
2014-04-04,"AU-Rig","Temperate","Grassland",2.27164339720905,17.9572916666667,153.1875,349.916666666667,99.5970833333333,1.49717992778775,64.5833333333333,0.00833823417333185
2014-04-05,"AU-Rig","Temperate","Grassland",2.43394049807388,18.5460416666667,216.3125,329.895833333333,99.7035416666667,0.994610240681086,66.2083333333333,0.00886334209499978
2014-04-06,"AU-Rig","Temperate","Grassland",1.95798854576077,18.2095833333333,220.677083333333,328.5,99.9054166666667,0.733582019829246,61.8958333333333,0.00809278293133246
2014-04-07,"AU-Rig","Temperate","Grassland",1.15952108840851,17.691875,113.520833333333,357.854166666667,99.99,1.35637241069971,67.2291666666667,0.00850319642794636
2014-04-08,"AU-Rig","Temperate","Grassland",1.45225095435453,19.9514583333333,124.666666666667,371.4375,99.7697916666667,2.56706561566211,56.8958333333333,0.0083055981733815
2014-04-09,"AU-Rig","Temperate","Grassland",0.965890924928463,16.4620833333333,40.7916666666667,394.270833333333,99.6064583333333,1.79042415422335,89.0416666666667,0.0104702999913375
2014-04-10,"AU-Rig","Temperate","Grassland",0.846004922834949,16.4316666666667,28.4166666666667,396.1875,98.9289583333333,1.30663404110331,93.5833333333333,0.0110622260145163
